タイトル,発売,販売,発売日,状態
スーパーマリオブラザーズ,任天堂,任天堂,1985/9/13,裸
スーパーマリオブラザーズ3,任天堂,任天堂,1988/10/23,裸
アストロ忍者マンDX,コロンバスサークル,コロンバスサークル,2022/2/25,箱説付き
マニアックマンション,ルーカスアーツ,ジャレコ,1988/6/23,裸
